	
11.	-14.64999999999997
12.	-14.720000000000127
13.	-14.79999999999992
14.	-14.880000000000127
15.	-14.929999999999971
16.	-14.99999999999992
17.	-15.040000000000127
18.	-15.09999999999992
19.	-15.16000000000001
20.	-15.19999999999992
21.	-15.25000000000001
22.	-15.299999999999919
23.	-15.34000000000001
24.	-15.360000000000127
25.	-15.399999999999919
26.	-15.489999999999974
27.	-15.52000000000001
28.	-15.599999999999918
29.	-15.629999999999974
30.	-15.680000000000128
31.	-15.720000000000134
32.	-15.760000000000128
33.	-15.799999999999917
34.	-15.840000000000128
35.	-15.899999999999917
36.	-15.940000000000127
37.	-15.999999999999917
38.	-16.049999999999976
39.	-16.080000000000126
40.	-16.119999999999976
41.	-16.15000000000001
42.	-16.199999999999918
43.	-16.24000000000001
44.	-16.259999999999977
45.	-16.29999999999992
46.	-16.33000000000001
47.	-16.36000000000012
48.	-16.39999999999992
49.	-16.42000000000001
50.	-16.44999999999992
51.	-16.480000000000118
52.	-16.499999999999922
53.	-16.539999999999978
54.	-16.560000000000116
55.	-16.569999999999794
56.	-16.599999999999923
57.	-16.640000000000114
58.	-16.640000000000114
59.	-16.67999999999998
60.	-16.699999999999925
